title,patent_number
Internet billing method,US-6976008-B2
Internet billing method,US-7917436-B2
Internet billing method,US-6411940-B1
Internet billing method,US-8190524-B2
Internet billing method,US-8359269-B2
Internet billing method,US-8306913-B2
Internet billing method,US-6351739-B1
Internet billing method,US-6188994-B1
Internet billing method,US-7941375-B2
Internet billing method,US-8326756-B2
Internet billing method,US-8935183-B2
Internet billing method,US-8086532-B2
Internet billing method,US-8719162-B2
Internet billing method,US-7970703-B2
Issuer support services,US-8200556-B2
Keyboard trading system,US-8930256-B2
Load aware optimization,US-7249081-B2
Loan management account,US-7873568-B1
Location aware requests,US-8750901-B1
Location aware requests,US-9082116-B1
Malware data clustering,US-8788407-B1
Managed deposit program,US-8660920-B2
Master system of record,US-7925555-B2
Meta-marketplace method,US-7734530-B1
Money processing system,US-7740120-B2
Money remittance method,US-7258274-B2
Multiplatform interface,US-9454784-B2
On-line savings account,US-9830649-B2
Order grid highlighting,US-10026124-B2
Outlying trading orders,US-8630936-B2
Parts valuation and use,US-9830664-B1
Parts valuation and use,US-8788301-B1
Pay at the table system,US-8306860-B2
Pay at the table system,US-7457767-B1
Pay at the table system,US-8306861-B2
Pension benefits system,US-4750121-A
Prepaid short messaging,US-8060429-B2
Prepaid short messaging,US-8175953-B1
Prepaid short messaging,US-7853511-B2
Prepaid short messaging,US-7428510-B2
Prepaid short messaging,US-8738496-B2
Product exchange system,US-8024226-B2
Product exchange system,US-8332324-B2
Program creating method,US-5249240-A
Project risk assessment,US-7318038-B2
Provisioning news items,US-10038975-B1
Replacement heart valve,US-6719789-B2
Restricted use currency,US-8706620-B2
Retail deployment model,US-8219535-B1
Retail deployment model,US-9619816-B1
Retail deployment model,US-8805805-B1
Reusable product system,US-8788295-B1
Rogue vehicle detection,US-9262914-B2
Score based decisioning,US-8175897-B2
Score based decisioning,US-7251624-B1
Space management system,US-6016481-A
Space management system,US-5241467-A
Space management system,US-5812985-A
Supplier stratification,US-8185430-B2
Supply chain management,US-8160908-B2
Survival risk insurance,US-7676388-B2
Template based matching,US-8332306-B2
Template based matching,US-7805360-B2
Transferring a document,US-8712802-B1
Tricare payment process,US-8219422-B2
Value dispensing system,US-4011433-A
Vehicle climate control,US-9159232-B2
Vehicle control systems,US-10019009-B2
Vehicle location system,US-6717527-B2
Vehicle location system,US-6489897-B2
Video financial deposit,US-7856402-B1
Video financial deposit,US-7792752-B1
Video financial deposit,US-7912785-B1
Viewer with code sensor,US-6788293-B1
Accounts payable process,US-8429037-B2
Accounts payable process,US-7865411-B2
Accounts payable process,US-8781925-B1
Action console framework,US-8700439-B2
Alterable account number,US-8812385-B2
Alterable account number,US-8712889-B2
Anonymous trading system,US-8055572-B2
Anonymous trading system,US-6983259-B1
Applicant authentication,US-8255318-B2
Asset portfolio tracking,US-7383219-B1
Auction insurance system,US-7752120-B2
Automated loan repayment,US-6826544-B1
Automated pricing system,US-8266005-B2
Automated pricing system,US-7783523-B2
Automated pricing system,US-8515820-B2
Automated stock exchange,US-4412287-A
Automated trading system,US-8209254-B2
Automated trading system,US-8706606-B2
Automated trading system,US-7865421-B2
Automated trading system,US-8775297-B2
Automatic auction method,US-6044363-A
Banknote-handling system,US-8032459-B2
Bid/offer spread trading,US-8145557-B2
Bundled mortgage package,US-7865429-B2
Collateral damage limits,US-7937279-B2
Credit/financing process,US-7366694-B2
Credit/financing process,US-7680728-B2
Custom report generation,US-7680823-B2
Delivery payment systems,US-9519933-B2
Dependent payment device,US-8583554-B2
Dependent payment device,US-8571986-B2
Detecting change in data,US-7836111-B1
Distributed live auction,US-6449601-B1
Dual currency debit card,US-5687323-A
Dual quote market system,US-7599875-B1
Dynamic hold decisioning,US-8381975-B2
Dynamic hold decisioning,US-8191777-B2
Earned value application,US-8489440-B2
Electronic draft capture,US-7853525-B2
Electronic reassociation,US-8184894-B1
Electronic tender system,US-7181405-B1
Encapsulated accelerator,US-9600429-B2
Encapsulated accelerator,US-8996644-B2
Encapsulated accelerator,US-9880964-B2
Encapsulated accelerator,US-9892082-B2
Encounter billing system,US-5229584-A
Evaluation of securities,US-7523056-B2
Express check conversion,US-7660771-B2
FPGA matrix architecture,US-9443269-B2
FPGA matrix architecture,US-9904931-B2
Fair discounting auction,US-7778869-B2
Financial line data-base,US-7899819-B2
Flexible order structure,US-8055550-B2
Flexible order structure,US-7353189-B2
Funding on-line accounts,US-7860772-B2
Gaming management system,US-8029366-B2
Generating data clusters,US-9135658-B2
Global compliance system,US-7606747-B2
Global compliance system,US-7962393-B2
